,id,name,user_url,abstract,follow,follower
0,1,山本 一成🌤Ponanza,https://note.com/issei_y,名人に勝利した将棋プログラムPonanzaの作者です／東大卒／愛知学院大学特任准教授／東大客員研究員／HEROZ(株)リードエンジニア／著書「人工知能はどのようにして名人を超えたのか？」,479,"45,504"
1,2,こんぴゅ,https://note.com/konpyu,web技術全般が専門のエンジニアです。ストレスなく理解できる技術記事を書いていきます,419,"43,469"
2,3,キャリアハック編集長 白石勝也,https://note.com/3lines,【テック × プレス3行まとめ】キャリアハック編集長／エンジニアHub 共同編集／AMBI編集長。インプット用にテック系リリースのまとめ／メモなどを公開しています。,37,"41,921"
3,4,shu223,https://note.com/shu223,フリーランスiOSエンジニア兼サンフランシスコのFyusion社勤務。 著書に「iOS×BLE　Core Bluetooth プログラミング」「iOSアプリ開発　達人のレシピ100」。GitHubで「iOS Sampler」シリーズ他さまざまなオープンソースを公開している。,71,"29,544"
4,5,中島聡,https://note.com/lifeisbeautiful,"エンジニア、起業家、サイエンス・ライター。自分が創業者として米国に作った会社を２回売却（$56M, $320M）。 シアトル在住。メルマガ「週刊 Life is Beautiful」連載中。工学修士・MBA。",0,"20,444"
5,6,大丸拓郎,https://note.com/takurodaimaru,NASAジェット推進研究所 (JPL) エンジニア。地球外生命体の発見を目指して火星ローバー「パーサヴィアランス」や、木星の衛星エウロパに向かう探査機の開発に参加しています。宇宙開発の現場で得た学びなどを書きます。,1,"17,817"
6,7,Kurashicom Engineers' Blog,https://note.com/kurashicom_tech,クラシコムのエンジニアによる、技術者向けのブログです。普段の開発内容や、開発するなかでの気づきなどを発信しています。,1,"14,600"
7,8,セミFIRE湯浅淳一,https://note.com/junjourney,Aiビッグデータ系エンジニア10年以上 → 世界一周 → セミFiRE(投資) / iTと旅と料理ともの書きが得意 / 湯浅探偵団 https://junjourney.com/ / リメイク料理 https://rerecook.com/,0,"13,431"
8,9,UUUM DESIGN,https://note.com/uuum_design,UUUM（ウーム）のシステムユニットのデザインにまつわる公式ブログです。エンジニアブログとは別にnoteにデザイナーブログを開設しました！,1,"8,623"
9,10,田畑浩平 | iOS Engineer x Designer,https://note.com/nerd0geek1,一橋経済 →スタートアップ数社 →フリーランスのiOSエンジニア → 株式会社creche studio(法人成り) 個人開発に関する記事や開発フローの効率化、経済学で解釈する現実、などの記事を書いてます。,61,"8,737"
10,11,aakaa,https://note.com/aakaa,建築出身のデザイナー兼エンジニア。フィジカルとデジタル、デザインとエンジニアリングの境目に興味があります。2018年9月からスイスに行くことになりました。,7,"8,228"
11,12,まりーな／エンジニア,https://note.com/marina1017,エンジニアしてますtwiiter:@marina10172013好きなもの Adobe.Ai.AE.Ps/Sketch/Blender/デジタルファブリケーション,102,"7,512"
12,13,田川欣哉 (Takram),https://note.com/kinya_tagawa,Takram代表 | デザインエンジニア | Twitter: @_tagawa | デザイン・テクノロジー・ビジネスを駆使するデザインイノベーションの仕事をしています。UI・UX・プロダクト・ブランディングなどなど。英国ロイヤル・カレッジ・オブ・アート名誉フェロー。,13,"6,684"
13,14,Tomizawa Kan / 地空,https://note.com/chhkuw,オンラインVTS（対話型芸術鑑賞）のファシリテーター。 カンボジアで８年間、美術教育やら考える教育やらなことをしてました。 他方、フロントエンドエンジニアとして、MTやWPのカスタマイズやプラグイン作成などが中心。,72,"6,790"
14,15,相川真司（かわんじ） #BooQs,https://note.com/kawanjin01,株式会社BooQs代表で、心理学に基づいた英単語学習サービス「BooQs（ブックス）」を開発しているRailsエンジニア。晶文社から学習の心理学の解説本を出します。 BooQs⇨https://www.booqs.net/,100,"6,646"
15,16,藤丸,https://note.com/aoi_maru,藤丸あおい(a.k.a. あお丸)です(๑˃̵ᴗ˂̵)و 都内でソフトウェアエンジニアをしています。水族館巡礼中(‘ω’ っ )３ https://twitter.com/aoi_maru,9,"6,331"
16,17,池澤 あやか,https://note.com/ikeay,ソフトウェアエンジニア、ときどきタレントです。テクノロジーとガジェットとカレーが好き。,37,"6,491"
17,18,へる,https://note.com/heru_pokeca,フリーランス/Unityエンジニア/ライター/ポケモンカードプレイヤー/ポケカ日本代表を目指しつつ、色々な記事を書いてます。いつの間にか動物園の園長や寮母さんになってました。,1,"5,487"
18,19,奥野賢太郎 / Crescware,https://note.com/okunokentaro,クレスウェア代表、エンジニア。作曲業界、Web業界を経て『Webと音楽の融合』を使命に独立。ミュージシャン時代の経験を生かして、音楽との触れ合い方を変えるサービスを開発中。 https://okunokentaro.com,13,"4,515"
19,20,ドリキン,https://note.com/drikin,サンフランシスコ在住のソフトウェアエンジニア。独自の視点で最新のIT情報を届ける「ガジェット系ユーチューバー」として、業界人に注目されている。愛称は「ドリキンさん」。SNS上のコミュニケーションを通じて、消費を喚起。 ~ Forbes Japan より引用 ~,12,"4,142"
20,21,sumi,https://note.com/kawa1228,2年くらいWebエンジニアしてます。勉強したことをつらるページ₍ ᐢ. ̫ .ᐢ ₎ たまにもくもく会やったり→https://prog-9.connpass.com/ 趣味はお笑いラジオと西洋音楽と西洋美術👩‍🎨,111,"3,807"
21,22,ゆうき,https://note.com/uchiyamay,WebデザイナーからWebエンジニアにチェンジ / TECH::EXPERT 64期 / フリーランス / 仕事の依頼はTwitterのDMまで /,6,"3,475"
22,23,Lillian,https://note.com/neko_chan0214,東京大学医学部卒、血液内科専門医。Pythonを独学して、令和元年にGoogleのソフトウェアエンジニアに転職しました。note記事は個人の意見であり、会社を代表しません。競技プログラミングはAtCoder青色。ポーカーのGTO戦略を研究しています。,2,"2,991"
23,24,北田 荘平 / THE GUILD,https://note.com/soohei,デザイナー / エンジニア / THE GUILD Co-Founder / 多摩美 統合デザイン学科非常勤講師 / Fujirocker (2006-) / FRF APP (2011-2018) / FUJI ROCK '19 by SoftBank 5G (2019),36,"2,980"
24,25,岩澤　樹/NPO業務Hack,https://note.com/iitsuki,ゆるーく生きたい。そんなことを常日ごろ思いながらも現実は真逆。でも結構楽しんでいます。笑 大学卒業後はインフラエンジニアをした後、現在は教育系のNPOでマネージャーをしています。 元インフラエンジニア、現情シス/会計/情報リスクアセスメント/バックオフィスマネジメント/ハブ,26,"3,329"
25,26,ren@Anyflow Inc.,https://note.com/lotus,メガベンチャーのエンジニアを1年経て、今はAnyflow https://anyflow.jp のCEO兼エンジニアをやっています。今までに20個以上プロダクトをリリースし、失敗しまくってきました。プロダクトの開発からリリース、グロース等の記事を書いていきます！,137,"3,143"
26,27,sakak,https://note.com/sakak9498,"コーポレートインフラエンジニア , Nagoya , Japan. IT-BCP , Enterprise Storage , Backup Solution , Data Center , 3DCAD Workstation , PBX.",32,"2,945"
27,28,吉田航,https://note.com/w_yoshida,ベンチャー企業を中心に、都内でコーポレートエンジニア/情シスとして働いています。,59,"2,720"
28,29,村上 臣（電脳コラムニスト）,https://note.com/shin_murakami,だれもが自分らしく楽しく働ける世の中に！働き方や注目テクノロジーなどを中心に発信。日系企業でエンジニア→ディレクター→役員の後、海外経験ゼロのまま外資カントリーマネージャーへ。執筆依頼等は→ https://www.linkedin.com/in/shin-murakami/,12,"2,858"
29,30,noah,https://note.com/nfw,シリコンバレーでエンジニアをしてます,13,"2,096"
30,31,Takuya Tejima,https://note.com/tejitak,元IBM・LINEエンジニアの海外連続起業家。現在東南アジア拠点のスタートアップスタジオGAOGAOのCEO(シンガポールHQ)。ホーチミンでプログラミング教育事業も運営。Udemy講師や共著「Vue.js入門」を出版。独立系VCのCTO。 https://gaogao.asia,73,"2,796"
31,32,Objective-ひろC🍜,https://note.com/hirothings,Twitter: https://twitter.com/hirothings 元ラーメン屋店長プログラマー🍜iOSエンジニアをやってます📱,31,"2,272"
32,33,Seiji Takahashi - timakin,https://note.com/timakin,ソフトウェアエンジニア兼PjM。好きな言語はGoとTypeScript。GoやRuby、インフラ周りで時々ツールを公開しています。技術カンファレンスでよく喋る方です。特技はポエムを書くことです。/ Gunosy ← Translimit ← DeNA,27,"2,456"
33,34,はし かよこ,https://note.com/kayoko_coco,循環型経済、ポスト資本主義を探究したい。本当の豊かさについて考えるために文章を書いています。 株式会社MIKKE / 株式会社TSUMUGI ← ウェルビーイングをテーマに夫婦で世界一周半 ← 渋谷のベンチャーでWEBエンジニア。,60,"2,937"
34,35,Lin@中国語×エンジニア学生,https://note.com/linpy,21卒文系学生エンジニアによる意識高い系アカ。中国語とプログラミングを学んでます。 B’z / HSK5級 / HSK6級学習中 / Ruby / Vue.js / (モンエナ中毒) Twitterもよろしくです😊,27,"2,306"
35,36,ゆうじむらた子,https://note.com/muralog,Webエンジニア・ライター。経営・幸福・財産形成等に関する「攻略法」を研究中。趣味:競馬、B級グルメ。,22,"1,630"
36,37,PIANO FLAVA,https://note.com/piano_flava,ヒップホップのトラックメイカーやBGM制作（作曲家）やってます。小さい頃から音楽が好きで、最近はマスタリングなどのエンジニアリングも。大阪府堺市出身。https://piano-flava.com/,45,"1,845"
37,38,青木征洋 / Godspeed,https://note.com/godspeed_vivix,作編曲家、ギタリスト、エンジニア。代表作: ストリートファイターV、Astral Chain、戦国BASARA3、4、FF15 Comrades、音ゲー楽曲(チュウニズム、GITADORA、太鼓の達人、Cytus II等)、G5 Project、G.O.D.。,12,"2,014"
38,39,Yuka Masuda,https://note.com/y_ukyk,ごはんのことばかり考えているフロントエンドエンジニア in パリ。フェミニスト。,24,"1,890"
39,40,TAK / Web Creator.,https://note.com/tak_dcxi,Webデザイン&マークアップ&フロントエンドをしていたWeb制作者 → 自社開発サービスのフロントエンドエンジニア | Webに関する技術ネタからライフハックまで幅広く投稿 | 有料記事が多めです,37,"1,510"
40,41,magito,https://note.com/magimagi1223,宇宙開発エンジニア&暗号通貨システムトレーダー&機械学習ビギナーです。基本ENJOY勢。トレーディングやテクノロジーについて面白そうなこと、役に立ちそうなことをnoteに投稿していきます。,25,"1,192"
41,42,龍星ひかる,https://note.com/r_hikaru,サッカーを主にスポーツ観戦がライフワークになってるWEBエンジニア。メインで応援してるチームは東京ヴェルディ、スペリオ城北、FC岐阜。健康維持のために年一でフルマラソンに挑戦。岐阜市出身、津田沼経由の板橋区民。「内容が薄くても書き続ける」をテーマにしてノンジャンルで執筆します。,11,"1,534"
42,43,ふじけん / kenshir0f,https://note.com/fjkn,デザイナー兼エンジニア。主にUIデザインとフロントエンド。https://kenshir0f.com 個人で日報サービス作ってます→http://stella-app.jp,44,"1,612"
43,44,りょー@偏差値36から天文学者,https://note.com/ryo_sasaki,宇宙物理専攻の26歳。NASA、理研で研究員をやりつつ、AIエンジニアをフリーで少々。宇宙とビジネスを掛け合わせて行くための発信をしていきます！宇宙系のサイエンスライターもやりたい。,48,"1,168"
44,45,Marucchi,https://note.com/malcchi,エンジニア x 漫画家 x 音楽家。noteでは「スキタツ〜好きなことで生きる達人の仕事術」（休載中）育児エッセイ漫画もときどき。最近はエンジニア活動がメインで漫画と音楽はお休み中。,41,"1,076"
45,46,いわにほ,https://note.com/iwaniho,絵心ない人が毎日なにか描き続けたらどうなるか実験してみるアカウント。◆描く内容は絞らない（練習、トレース、模写、オリジナル等々）◆2020年の目標のうちの一つ「絵で伝える力を高める」ために毎日書いてます。◆ソフトエンジニア、2児の親。,45,"1,364"
46,47,ヨーロピアン,https://note.com/europian,暗号資産・ブロックチェーンの技術・金融が好きなエンジニア。趣味は投資(エンジェル投資含む)とトレード。ときどきブログを書いたり、記事寄稿したりします。 #bitcoin,2,"1,017"
47,48,清水 貴裕😋 事業企画室長 | ベルフェイスの中のヒト,https://note.com/shimizt,Saas型セールスイネーブルメント | セールスプロセスエンジニア | ずっと0→1屋さん | 元エンジニア | 元ダイレクトマーケター | 元セールス | 経営者 | ビジネスイネーブルメント | BtoBセールス支援 | ビジネスナビゲーター代表取締役CEO,42,"1,460"
48,49,naoto,https://note.com/naoto111,エンジニア出身の事業責任者。大企業やスタートアップの支援をしてます。 現在→カーマンライン(株)代表取締役 2018 ガリバー/事業責任者 2015 GREE/マネージャ 2012 ループス/コンサル・PM 2007 クレスコ/エンジニア,5,"1,370"
49,50,えむしろ,https://note.com/mshiro,職業はフロントエンドエンジニア。休日は漫画を描いています。,32,"1,283"
50,51,Reza,https://note.com/reza,興味のあることについて発信。多趣味。 メタル/ハードコア/ボーカル/作曲/Webデザイン/エンジニア/ゲーム/アニメ/ライフハック,15,971
